SeniorCitizen,tenure,MonthlyCharges,EstimatedTotalSpend,NumActiveServices,AvgMonthlyChargePerService,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,TenureGroup_Established,TenureGroup_Loyal,TenureGroup_Veteran,Churn
0,1,25,25,1,12.5,0,0,0,0,0,0,0,0,0,0,1
0,41,25,1025,2,8.333333333333334,1,0,1,0,0,1,0,0,1,0,0
0,52,19,988,2,6.333333333333333,0,1,1,0,0,0,0,0,0,1,0
0,1,76,76,2,25.333333333333332,0,0,1,0,0,1,0,0,0,0,1
0,67,51,3417,2,17.0,1,0,1,0,1,0,0,0,0,1,0
1,68,90,6120,3,22.5,0,0,1,1,1,0,0,0,0,1,1
0,23,77,1771,3,19.25,0,1,1,1,1,0,0,1,0,0,0
0,72,72,5184,2,24.0,1,1,1,0,0,0,0,0,0,1,0
0,70,104,7280,3,26.0,1,0,1,1,1,0,0,0,0,1,1
0,1,19,19,2,6.333333333333333,1,0,1,0,0,1,0,0,0,0,1
0,1,20,20,2,6.666666666666667,1,0,1,0,0,0,0,0,0,0,0
0,34,84,2856,2,28.0,1,1,1,0,0,0,1,0,1,0,0
1,28,51,1428,3,12.75,1,1,1,1,1,1,0,0,1,0,0
1,18,85,1530,3,21.25,0,0,1,1,1,0,0,1,0,0,1
0,15,20,300,2,6.666666666666667,0,0,1,0,1,0,0,1,0,0,0
1,11,95,1045,3,23.75,0,0,1,1,1,0,1,0,0,0,1
0,11,54,594,2,18.0,1,0,1,0,0,1,0,0,0,0,1
0,1,70,70,3,17.5,1,1,1,1,1,0,1,0,0,0,1
0,37,89,3293,2,29.666666666666668,0,1,1,0,0,0,0,0,1,0,0
0,22,89,1958,2,29.666666666666668,1,1,1,0,1,0,0,1,0,0,1
0,1,70,70,2,23.333333333333332,0,0,1,0,0,0,0,0,0,0,0
0,1,19,19,2,6.333333333333333,0,1,1,0,0,1,0,0,0,0,0
0,46,80,3680,2,26.666666666666668,1,1,1,0,0,0,0,0,1,0,0
0,51,107,5457,3,26.75,0,0,1,1,0,0,1,0,0,1,0
0,41,104,4264,2,34.666666666666664,0,0,1,0,0,0,0,0,1,0,0
0,5,68,340,2,22.666666666666668,0,0,1,0,0,0,0,0,0,0,1
0,45,89,4005,3,22.25,0,0,1,1,1,0,0,0,1,0,1
0,29,60,1740,2,20.0,1,1,1,0,0,0,0,0,1,0,0
1,15,92,1380,3,23.0,0,0,1,1,0,0,1,1,0,0,0
0,72,64,4608,1,32.0,1,0,0,0,0,0,0,0,0,1,0
0,50,104,5200,3,26.0,1,0,1,1,1,0,1,0,0,1,0
0,27,21,567,2,7.0,1,1,1,0,1,0,0,0,1,0,0
0,72,85,6120,2,28.333333333333332,1,0,1,0,0,1,0,0,0,1,0
0,51,70,3570,2,23.333333333333332,0,1,1,0,0,0,0,0,0,1,0
0,60,94,5640,2,31.333333333333332,0,0,1,0,0,0,0,0,0,1,0
0,17,19,323,3,4.75,1,0,1,1,1,0,1,1,0,0,0
0,72,21,1512,2,7.0,0,0,1,0,1,0,0,0,0,1,0
0,33,104,3432,2,34.666666666666664,0,0,1,0,1,0,0,0,1,0,1
1,66,105,6930,3,26.25,0,1,1,1,1,0,0,0,0,1,0
0,69,104,7176,3,26.0,0,1,1,1,1,0,0,0,0,1,1
0,5,70,350,2,23.333333333333332,1,0,1,0,0,1,0,0,0,0,1
0,57,101,5757,3,25.25,0,0,1,1,0,0,1,0,0,1,0
1,8,76,608,2,25.333333333333332,0,0,1,0,0,1,0,0,0,0,1
0,14,51,714,3,12.75,0,0,1,1,0,0,1,1,0,0,0
0,25,95,2375,3,23.75,1,0,1,1,0,0,0,0,1,0,1
0,52,20,1040,3,5.0,0,1,1,1,1,0,0,0,0,1,0
1,7,76,532,2,25.333333333333332,0,0,1,0,0,0,0,0,0,0,1
0,13,80,1040,2,26.666666666666668,1,0,1,0,1,0,0,1,0,0,1
1,15,90,1350,3,22.5,0,0,1,1,0,0,1,1,0,0,1
0,22,55,1210,3,13.75,1,0,1,1,0,0,1,1,0,0,1
0,19,20,380,3,5.0,0,0,1,1,1,0,0,1,0,0,0
0,23,30,690,1,15.0,1,1,0,0,1,0,0,1,0,0,0
0,72,114,8208,3,28.5,0,0,1,1,0,0,0,0,0,1,0
1,72,98,7056,3,24.5,1,0,1,1,1,0,0,0,0,1,0
0,59,97,5723,2,32.333333333333336,0,1,1,0,0,1,0,0,0,1,0
0,70,75,5250,3,18.75,0,1,1,1,1,0,0,0,0,1,0
0,70,101,7070,3,25.25,1,1,1,1,1,1,0,0,0,1,0
0,9,103,927,3,25.75,1,1,1,1,1,1,0,0,0,0,0
0,3,25,75,3,6.25,0,0,1,1,0,0,1,0,0,0,0
1,17,102,1734,3,25.5,1,0,1,1,1,0,1,1,0,0,0
0,28,70,1960,3,17.5,0,1,1,1,1,0,0,0,1,0,0
0,10,54,540,3,13.5,0,0,1,1,1,0,0,0,0,0,0
0,11,21,231,2,7.0,1,1,1,0,0,0,1,0,0,0,0
1,72,103,7416,2,34.333333333333336,1,0,1,0,0,1,0,0,0,1,0
0,8,70,560,3,17.5,1,0,1,1,1,0,0,0,0,0,1
1,69,20,1380,2,6.666666666666667,1,0,1,0,0,0,0,0,0,1,0
0,39,20,780,3,5.0,0,1,1,1,1,1,0,0,1,0,0
0,67,51,3417,1,25.5,1,1,0,0,0,0,1,0,0,1,0
0,39,20,780,2,6.666666666666667,1,0,1,0,0,0,1,0,1,0,0
0,54,66,3564,2,22.0,1,1,1,0,1,0,0,0,0,1,0
0,1,74,74,2,24.666666666666668,0,0,1,0,0,0,0,0,0,0,1
0,72,60,4320,1,30.0,0,1,0,0,0,1,0,0,0,1,0
0,10,99,990,3,24.75,1,0,1,1,1,0,1,0,0,0,1
0,13,97,1261,3,24.25,1,1,1,1,0,0,1,1,0,0,1
0,35,99,3465,2,33.0,0,0,1,0,0,0,0,0,1,0,0
0,12,36,432,2,12.0,1,1,0,1,1,1,0,0,0,0,0
0,31,91,2821,2,30.333333333333332,1,0,1,0,0,1,0,0,1,0,0
0,53,108,5724,2,36.0,0,1,1,0,0,0,0,0,0,1,0
0,30,20,600,3,5.0,1,0,1,1,0,1,0,0,1,0,0
0,46,75,3450,2,25.0,0,0,1,0,1,0,0,0,1,0,0
0,19,90,1710,2,30.0,0,0,1,0,0,0,0,1,0,0,1
0,23,54,1242,2,18.0,0,0,1,0,1,0,0,1,0,0,0
1,15,55,825,2,18.333333333333332,0,0,1,0,1,0,0,1,0,0,1
0,48,20,960,2,6.666666666666667,1,0,1,0,0,0,1,0,1,0,0
0,25,96,2400,3,24.0,1,1,1,1,1,0,0,0,1,0,1
0,52,105,5460,2,35.0,1,0,1,0,0,1,0,0,0,1,1
0,12,82,984,2,27.333333333333332,1,0,1,0,0,0,1,0,0,0,1
0,48,25,1200,2,8.333333333333334,0,0,1,0,0,0,1,0,1,0,0
0,38,20,760,2,6.666666666666667,0,0,1,0,0,0,0,0,1,0,0
0,18,35,630,1,17.5,0,0,0,0,1,0,0,1,0,0,0
0,45,50,2250,2,16.666666666666668,0,0,1,0,1,0,0,0,1,0,0
0,12,90,1080,3,22.5,1,0,1,1,0,0,1,0,0,0,0
1,66,102,6732,3,25.5,0,0,1,1,1,0,0,0,0,1,0
0,72,20,1440,3,5.0,0,0,1,1,1,0,1,0,0,1,0
0,70,45,3150,2,15.0,0,0,0,1,1,0,0,0,0,1,0
0,27,90,2430,3,22.5,0,0,1,1,0,1,0,0,1,0,0
1,13,95,1235,2,31.666666666666668,1,0,1,0,0,0,1,1,0,0,1
0,65,90,5850,2,30.0,0,1,1,0,1,0,0,0,0,1,0
